Age,AgeGroup,Attrition,AttritionFlag,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,SatisfactionGroup,MaritalStatus,MonthlyIncome,IncomeGroup,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,TenureGroup,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
33,25-34,No,0,Travel_Rarely,"$1,467",Research & Development,28 km,3,Medical,26,3,Male,$51,2,1,Research Director,2,Medium,Married,"$6,734",Middle Income,"$11,670",0,No,11,3,4,0,10,4,1,0,0-1 Years,0,0,0
43,35-44,No,0,Travel_Rarely,"$1,385",Research & Development,5 km,3,Life Sciences,27,1,Female,$36,2,2,Research Scientist,1,Low,Single,"$9,618",High Income,"$2,606",2,No,17,3,4,0,23,3,1,9,5-9 Years,1,1,0
22,Under 25,Yes,1,Travel_Rarely,"$1,252",Sales,29 km,3,Marketing,28,2,Female,$35,4,2,Sales Executive,1,Low,Single,"$10,210",High Income,"$17,055",3,No,17,3,3,0,0,0,1,2,2-4 Years,0,2,2
31,25-34,No,0,Travel_Frequently,$172,Research & Development,3 km,3,Life Sciences,29,3,Female,$61,3,2,Manufacturing Director,1,Low,Married,"$9,673",High Income,"$20,065",2,No,11,4,3,1,13,6,1,0,0-1 Years,0,0,0
20,Under 25,No,0,Travel_Rarely,$472,Research & Development,1 km,3,Life Sciences,30,3,Male,$42,2,1,Healthcare Representative,2,Medium,Married,"$6,390",Middle Income,"$11,931",4,No,16,4,2,1,0,4,1,0,0-1 Years,0,0,0
26,25-34,No,0,Travel_Rarely,$952,Research & Development,1 km,3,Other,31,2,Male,$69,4,1,Manager,1,Low,Married,"$8,648",High Income,"$10,763",3,No,15,3,1,2,7,2,1,3,2-4 Years,3,0,0
33,25-34,No,0,Travel_Rarely,"$1,336",Research & Development,1 km,3,Medical,32,3,Male,$37,2,1,Healthcare Representative,2,Medium,Single,"$5,262",Middle Income,"$14,085",2,Yes,15,3,1,3,12,0,1,4,2-4 Years,0,0,4
36,35-44,No,0,Travel_Rarely,"$1,180",Sales,6 km,3,Technical Degree,33,1,Female,$33,3,1,Sales Executive,2,Medium,Divorced,"$7,453",High Income,"$2,845",2,Yes,16,3,4,0,14,5,1,3,2-4 Years,1,0,2
34,25-34,Yes,1,Travel_Rarely,$606,Sales,5 km,3,Marketing,34,4,Male,$39,4,2,Sales Executive,1,Low,Single,"$8,751",High Income,"$14,312",2,Yes,16,3,1,1,10,1,1,3,2-4 Years,0,3,2
51,45-54,No,0,Travel_Rarely,"$1,211",Research & Development,3 km,3,Medical,35,4,Male,$76,4,4,Research Scientist,4,Very High,Married,"$15,555",High Income,"$3,516",2,No,12,4,3,0,31,1,1,12,10+ Years,1,1,2
51,45-54,No,0,Travel_Rarely,$506,Research & Development,29 km,3,Medical,36,2,Female,$92,4,2,Healthcare Representative,1,Low,Married,"$7,793",High Income,"$18,981",4,No,17,3,3,2,31,0,1,0,0-1 Years,0,0,0
32,25-34,No,0,Travel_Rarely,"$1,304",Human Resources,4 km,3,Life Sciences,37,2,Male,$82,3,1,Manager,1,Low,Divorced,"$5,848",Middle Income,"$25,498",3,Yes,20,3,3,0,11,4,1,0,0-1 Years,0,0,0
34,25-34,No,0,Travel_Rarely,$720,Sales,4 km,3,Life Sciences,38,4,Male,$74,3,2,Sales Executive,3,High,Single,"$10,147",High Income,"$23,362",4,No,18,4,4,0,5,5,1,2,2-4 Years,2,0,2
41,35-44,No,0,Travel_Frequently,"$1,183",Sales,4 km,3,Technical Degree,39,2,Female,$72,2,1,Sales Representative,1,Low,Divorced,"$7,183",High Income,"$19,524",2,No,20,3,4,2,26,0,1,3,2-4 Years,0,3,2
28,25-34,No,0,Travel_Rarely,"$1,056",Human Resources,24 km,3,Life Sciences,40,3,Male,$80,3,3,Human Resources,3,High,Married,"$12,568",High Income,"$26,800",2,No,14,3,1,3,5,0,1,5,5-9 Years,2,5,1
42,35-44,No,0,Travel_Frequently,$150,Research & Development,3 km,3,Medical,41,2,Male,$53,2,3,Laboratory Technician,4,Very High,Married,"$11,346",High Income,"$4,555",2,Yes,12,3,1,0,17,0,1,5,5-9 Years,2,2,5
34,25-34,No,0,Travel_Rarely,"$1,294",Sales,1 km,3,Other,42,4,Female,$39,1,2,Sales Representative,3,High,Divorced,"$10,543",High Income,"$6,461",2,Yes,15,3,4,2,15,1,1,2,2-4 Years,1,1,2
37,35-44,No,0,Travel_Rarely,$480,Research & Development,1 km,3,Medical,43,2,Female,$39,2,3,Manager,1,Low,Divorced,"$11,922",High Income,"$20,887",1,No,11,3,2,2,14,2,1,8,5-9 Years,2,1,8
29,25-34,Yes,1,Travel_Rarely,$582,Research & Development,10 km,3,Life Sciences,44,1,Male,$55,1,1,Healthcare Representative,1,Low,Single,"$7,088",High Income,"$6,480",2,No,12,3,4,0,6,3,1,4,2-4 Years,1,4,0
44,35-44,No,0,Travel_Rarely,$657,Research & Development,5 km,3,Medical,45,2,Male,$85,4,2,Manufacturing Director,2,Medium,Divorced,"$10,029",High Income,"$22,149",3,No,11,3,4,3,16,5,1,8,5-9 Years,0,3,3
42,35-44,No,0,Travel_Rarely,"$1,192",Research & Development,2 km,3,Life Sciences,46,2,Male,$69,2,2,Healthcare Representative,2,Medium,Divorced,"$11,093",High Income,"$6,229",3,No,15,3,4,1,20,2,1,3,2-4 Years,3,1,0
42,35-44,No,0,Travel_Rarely,$891,Sales,15 km,3,Technical Degree,47,1,Unknown,$34,2,1,Sales Representative,3,High,Married,"$10,305",High Income,"$23,285",1,No,14,3,2,0,21,0,1,3,2-4 Years,0,0,1
18,Under 25,No,0,Travel_Rarely,$809,Research & Development,8 km,3,Life Sciences,48,1,Male,$62,4,2,Laboratory Technician,1,Low,Divorced,"$10,464",High Income,"$9,660",4,No,14,3,4,2,0,4,1,0,0-1 Years,0,0,0
36,35-44,No,0,Travel_Rarely,$158,Sales,1 km,3,Other,49,4,Female,$44,1,2,Sales Representative,3,High,Single,"$12,564",High Income,"$18,549",3,No,11,3,3,1,13,3,1,2,2-4 Years,1,0,2
34,25-34,No,0,Travel_Rarely,$279,Research & Development,8 km,3,Other,50,2,Female,$98,1,2,Research Director,2,Medium,Divorced,"$7,627",High Income,"$4,442",0,No,18,4,4,2,10,1,1,6,5-9 Years,6,1,4
40,35-44,No,0,Travel_Rarely,$822,Research & Development,9 km,3,Life Sciences,51,1,Male,$76,1,2,Healthcare Representative,4,Very High,Married,"$10,803",High Income,"$11,646",1,No,22,3,4,0,9,0,1,4,2-4 Years,4,1,3
34,25-34,No,0,Travel_Rarely,$345,Sales,7 km,3,Marketing,52,2,Male,$77,4,1,Manager,2,Medium,Single,"$7,571",High Income,"$15,554",2,Yes,20,3,3,0,11,0,1,2,2-4 Years,2,1,2
43,35-44,No,0,Travel_Rarely,"$1,250",Sales,18 km,3,Other,53,3,Female,$80,3,2,Manager,3,High,Single,"$8,611",High Income,"$22,045",0,Yes,12,3,3,2,20,6,1,2,2-4 Years,2,1,1
35,35-44,No,0,Non-Travel,$496,Research & Development,6 km,3,Medical,54,1,Female,$43,3,1,Healthcare Representative,2,Medium,Married,"$7,513",High Income,"$8,882",2,Yes,11,4,2,0,10,5,1,3,2-4 Years,2,1,3
39,35-44,No,0,Travel_Rarely,$755,Research & Development,5 km,3,Other,55,3,Female,$54,1,1,Laboratory Technician,2,Medium,Single,"$8,595",High Income,"$7,855",0,No,20,3,3,0,17,3,1,2,2-4 Years,0,2,2
54,45-54,No,0,Travel_Rarely,$376,Research & Development,2 km,3,Life Sciences,56,2,Male,$85,2,1,Manufacturing Director,3,High,Single,"$6,660",Middle Income,"$15,845",6,Yes,23,3,2,2,32,5,1,3,2-4 Years,2,1,3
34,25-34,No,0,Non-Travel,$297,Human Resources,9 km,3,Other,57,1,Male,$50,3,3,HR Business Partner,4,Very High,Married,"$9,611",High Income,"$21,256",0,No,14,3,4,2,6,1,1,6,5-9 Years,0,0,0
31,25-34,No,0,Travel_Frequently,$890,Sales,1 km,3,Marketing,58,3,Female,$58,4,2,Manager,4,Very High,Single,"$7,622",High Income,"$20,699",2,Yes,18,3,3,0,10,2,1,6,5-9 Years,3,0,0
30,25-34,No,0,Travel_Frequently,$328,Research & Development,8 km,3,Technical Degree,59,2,Female,$85,3,3,Healthcare Representative,2,Medium,Married,"$10,544",High Income,"$4,212",4,Yes,16,3,1,2,11,2,1,7,5-9 Years,0,0,1
38,35-44,No,0,Travel_Rarely,"$1,217",Sales,19 km,3,Marketing,60,1,Female,$47,1,3,Sales Representative,2,Medium,Divorced,"$10,140",High Income,"$16,604",6,No,12,3,4,0,13,3,1,12,10+ Years,0,1,3
22,Under 25,No,0,Non-Travel,$136,Research & Development,12 km,3,Technical Degree,61,2,Female,$61,1,2,Laboratory Technician,2,Medium,Divorced,"$8,810",High Income,"$25,702",3,No,16,3,4,1,0,5,1,0,0-1 Years,0,0,0
48,45-54,No,0,Non-Travel,$273,Research & Development,11 km,3,Other,62,1,Male,$61,1,2,Laboratory Technician,4,Very High,Married,"$12,754",High Income,"$17,922",3,Yes,15,3,2,1,24,0,1,2,2-4 Years,0,1,2
31,25-34,No,0,Non-Travel,$831,Sales,29 km,3,Technical Degree,63,1,Male,$95,3,1,Sales Executive,4,Very High,Married,"$7,253",High Income,"$13,052",1,Yes,14,3,1,1,7,4,1,2,2-4 Years,0,1,0
24,Under 25,No,0,Travel_Frequently,"$1,393",Research & Development,6 km,3,Other,64,4,Male,$39,2,1,Research Director,3,High,Divorced,"$6,553",Middle Income,"$15,898",1,No,24,3,1,1,0,2,1,0,0-1 Years,0,0,0
27,25-34,No,0,Travel_Rarely,"$1,446",Research & Development,3 km,3,Technical Degree,65,4,Male,$65,2,2,Healthcare Representative,3,High,Married,"$9,733",High Income,"$26,205",4,No,17,3,3,2,13,3,1,3,2-4 Years,3,3,2
22,Under 25,No,0,Travel_Rarely,$994,Sales,1 km,3,Life Sciences,66,3,Male,$70,4,2,Sales Representative,4,Very High,Married,"$9,355",High Income,"$7,671",3,No,14,4,1,0,0,5,1,0,0-1 Years,0,0,0
34,25-34,No,0,Travel_Frequently,$420,Human Resources,8 km,3,Life Sciences,67,3,Female,$37,2,2,Human Resources,3,High,Divorced,"$6,434",Middle Income,"$3,496",3,No,11,3,3,0,14,2,1,0,0-1 Years,0,0,0
42,35-44,No,0,Travel_Rarely,$298,Sales,1 km,3,Technical Degree,68,4,Male,$80,1,2,Manager,3,High,Married,"$8,257",High Income,"$15,779",1,No,18,4,1,0,19,2,1,7,5-9 Years,0,2,3
43,35-44,No,0,Travel_Rarely,"$1,395",Research & Development,1 km,3,Medical,69,3,Male,$60,4,2,Manager,2,Medium,Married,"$8,286",High Income,"$16,225",3,No,13,3,1,1,19,1,1,0,0-1 Years,0,0,0
42,35-44,No,0,Non-Travel,$134,Sales,23 km,3,Technical Degree,70,1,Female,$55,3,2,Sales Executive,3,High,Single,"$7,574",High Income,"$14,791",2,No,12,3,3,0,21,5,1,0,0-1 Years,0,0,0
29,25-34,No,0,Travel_Frequently,"$1,279",Sales,12 km,4,Life Sciences,71,2,Female,$32,4,2,Manager,3,High,Single,"$9,422",High Income,"$10,001",2,No,12,3,1,0,4,5,1,4,2-4 Years,4,0,3
31,25-34,No,0,Travel_Rarely,$110,Research & Development,4 km,3,Medical,72,2,Female,$56,3,1,Manufacturing Director,2,Medium,Married,"$7,259",High Income,"$8,277",1,No,15,3,2,1,9,3,1,2,2-4 Years,1,0,1
38,35-44,No,0,Non-Travel,$772,Research & Development,2 km,3,Life Sciences,73,3,Male,$40,1,2,Research Scientist,2,Medium,Married,"$10,838",High Income,"$2,172",3,No,19,3,1,1,16,6,1,8,5-9 Years,3,0,0
38,35-44,No,0,Non-Travel,$661,Sales,6 km,3,Other,74,1,Male,$54,2,1,Manager,1,Low,Single,"$8,683",High Income,"$6,609",4,No,16,3,2,1,16,3,1,2,2-4 Years,2,2,0
28,25-34,No,0,Travel_Rarely,$253,Research & Development,4 km,3,Medical,75,4,Male,$83,2,2,Healthcare Representative,1,Low,Single,"$9,386",High Income,"$25,623",6,No,14,3,3,2,2,4,1,0,0-1 Years,0,0,0
31,25-34,No,0,Travel_Rarely,$288,Sales,3 km,3,Life Sciences,76,4,Male,$32,2,1,Sales Executive,3,High,Married,"$6,229",Middle Income,"$26,856",5,No,11,3,4,2,10,6,1,2,2-4 Years,2,2,2
27,25-34,No,0,Travel_Rarely,"$1,456",Research & Development,1 km,3,Technical Degree,77,2,Male,$30,4,1,Research Director,2,Medium,Single,"$8,247",High Income,"$18,767",3,Yes,19,3,3,1,5,2,1,4,2-4 Years,1,4,0
33,25-34,No,0,Non-Travel,$567,Research & Development,2 km,3,Life Sciences,78,2,Male,$80,3,2,Research Director,2,Medium,Single,"$8,685",High Income,"$24,377",1,No,16,4,1,0,19,1,1,2,2-4 Years,2,0,2
48,45-54,No,0,Non-Travel,"$1,326",Sales,1 km,3,Marketing,79,3,Male,$64,1,2,Manager,3,High,Divorced,"$6,489",Middle Income,"$12,111",2,Yes,11,3,1,0,23,2,1,6,5-9 Years,2,4,4
41,35-44,No,0,Travel_Rarely,"$1,085",Research & Development,6 km,3,Medical,80,1,Male,$82,2,1,Research Scientist,2,Medium,Single,"$7,833",High Income,"$13,509",5,No,11,4,3,0,18,5,1,3,2-4 Years,3,1,3
37,35-44,No,0,Travel_Rarely,$954,Research & Development,5 km,3,Other,81,3,Female,$45,3,2,Manager,3,High,Married,"$8,691",High Income,"$16,707",1,Yes,19,3,1,0,15,5,1,1,0-1 Years,1,0,1
22,Under 25,No,0,Travel_Rarely,"$1,433",Sales,4 km,3,Technical Degree,82,1,Male,$34,2,2,Sales Executive,1,Low,Single,"$9,724",High Income,"$21,123",3,No,13,3,4,1,0,0,1,0,0-1 Years,0,0,0
18,Under 25,No,0,Travel_Rarely,$135,Sales,9 km,3,Life Sciences,83,3,Male,$92,1,1,Sales Executive,1,Low,Single,"$6,538",Middle Income,"$9,586",3,Yes,11,3,3,2,0,5,1,0,0-1 Years,0,0,0
33,25-34,Yes,1,Travel_Rarely,$398,Sales,8 km,3,Technical Degree,84,3,Male,$72,2,1,Sales Executive,2,Medium,Divorced,"$3,970",Low Income,"$8,341",2,No,17,3,2,0,13,5,1,0,0-1 Years,0,0,0
23,Under 25,No,0,Non-Travel,"$1,348",Research & Development,16 km,3,Other,85,4,Male,$57,3,1,Manager,3,High,Single,"$8,044",High Income,"$13,745",1,No,17,3,2,1,3,0,1,0,0-1 Years,0,0,0
39,35-44,No,0,Travel_Rarely,"$1,347",Research & Development,7 km,3,Technical Degree,86,1,Male,$80,4,2,Research Director,4,Very High,Divorced,"$9,489",High Income,"$19,324",2,No,14,3,1,1,24,0,1,0,0-1 Years,0,0,0
31,25-34,No,0,Non-Travel,$483,Research & Development,8 km,3,Technical Degree,87,4,Male,$89,3,2,Manager,2,Medium,Married,"$7,428",High Income,"$4,699",0,No,11,3,3,2,11,5,1,6,5-9 Years,2,3,1
28,25-34,No,0,Travel_Rarely,"$1,297",Research & Development,9 km,3,Life Sciences,88,1,Unknown,$56,2,2,Healthcare Representative,2,Medium,Single,"$8,372",High Income,"$7,942",1,Yes,19,3,1,0,4,6,1,4,2-4 Years,2,3,1
21,Under 25,Yes,1,Travel_Frequently,$748,Research & Development,4 km,3,Life Sciences,89,2,Female,$77,4,2,Healthcare Representative,3,High,Married,"$10,034",High Income,"$24,023",0,No,13,4,4,3,0,0,2,0,0-1 Years,0,0,0
25,25-34,No,0,Travel_Rarely,"$1,262",Sales,3 km,3,Marketing,90,3,Female,$47,4,1,Sales Representative,4,Very High,Single,"$9,366",High Income,"$14,788",7,No,18,3,1,1,6,5,1,1,0-1 Years,1,1,0
30,25-34,No,0,Travel_Rarely,"$1,492",Research & Development,4 km,3,Other,91,1,Male,$56,3,2,Research Scientist,3,High,Single,"$4,200",Low Income,"$4,096",1,No,21,3,3,0,1,4,1,1,0-1 Years,1,0,1
49,45-54,No,0,Non-Travel,$619,Research & Development,7 km,3,Medical,92,2,Male,$58,4,2,Research Scientist,1,Low,Married,"$7,467",High Income,"$5,192",2,No,11,3,4,0,26,6,1,3,2-4 Years,0,1,0
34,25-34,No,0,Travel_Rarely,$692,Research & Development,6 km,3,Medical,93,3,Male,$79,2,2,Manufacturing Director,1,Low,Married,"$8,487",High Income,"$5,810",3,No,19,4,4,0,9,6,1,6,5-9 Years,2,4,6
57,55+,No,0,Travel_Rarely,$393,Sales,2 km,3,Technical Degree,94,3,Male,$57,4,2,Sales Representative,1,Low,Married,"$10,956",High Income,"$22,364",5,No,11,3,1,1,32,1,1,0,0-1 Years,0,0,0
49,45-54,No,0,Travel_Frequently,$500,Sales,8 km,3,Marketing,95,4,Male,$84,1,1,Manager,3,High,Married,"$6,471",Middle Income,"$18,660",3,No,15,3,4,2,26,2,1,0,0-1 Years,0,0,0
36,35-44,No,0,Travel_Frequently,"$1,445",Research & Development,14 km,3,Medical,96,4,Male,$45,1,1,Research Director,3,High,Divorced,"$10,029",High Income,"$26,301",4,No,11,3,2,0,16,5,1,4,2-4 Years,0,3,4
28,25-34,No,0,Travel_Rarely,$232,Human Resources,5 km,3,Human Resources,97,1,Male,$51,3,2,Manager,2,Medium,Divorced,"$9,162",High Income,"$26,745",0,No,21,3,2,1,1,3,1,1,0-1 Years,0,1,1
45,45-54,Yes,1,Travel_Rarely,$407,Research & Development,1 km,3,Other,98,1,Female,$92,4,3,Manager,1,Low,Single,"$11,529",High Income,"$23,042",6,No,16,3,3,3,17,0,1,10,10+ Years,0,3,9
35,35-44,No,0,Travel_Rarely,$789,Research & Development,1 km,3,Medical,99,4,Male,$72,3,1,Healthcare Representative,3,High,Single,"$11,787",High Income,"$2,333",4,No,14,3,4,1,13,4,1,1,0-1 Years,1,1,1
21,Under 25,No,0,Travel_Frequently,$282,Sales,1 km,3,Technical Degree,100,2.5,Male,$45,4,1,Sales Executive,3,High,Married,"$4,567",Low Income,"$13,680",3,No,12,3,4,0,0,0,1,0,0-1 Years,0,0,0
42,35-44,No,0,Travel_Rarely,$705,Research & Development,3 km,3,Other,101,3,Female,$43,2,2,Laboratory Technician,4,Very High,Married,"$9,125",High Income,"$25,934",2,No,11,3,2,2,19,5,1,6,5-9 Years,6,0,0
34,25-34,Yes,1,Travel_Rarely,$757,Research & Development,11 km,3,Medical,102,2,Male,$68,2,1,Research Director,1,Low,Single,"$9,229",High Income,"$6,125",1,Yes,18,3,1,0,9,0,1,0,0-1 Years,0,0,0
27,25-34,No,0,Travel_Rarely,$847,Sales,5 km,3,Technical Degree,103,3,Male,$40,3,1,Sales Representative,4,Very High,Single,"$6,448",Middle Income,"$14,963",2,No,11,4,3,1,12,0,1,1,0-1 Years,0,1,1
49,45-54,No,0,Travel_Rarely,"$1,266",Sales,1 km,3,Life Sciences,104,4,Female,$45,3,2,Manager,3,High,Single,"$5,735",Middle Income,"$4,232",3,No,15,3,4,0,25,4,1,0,0-1 Years,0,0,0
39,35-44,Yes,1,Travel_Rarely,$498,Sales,26 km,3,Life Sciences,105,1,Male,$41,4,1,Sales Representative,1,Low,Divorced,"$8,512",High Income,"$22,961",1,No,11,3,4,0,18,0,1,1,0-1 Years,1,1,0
33,25-34,No,0,Travel_Frequently,"$1,313",Research & Development,2 km,3,Other,106,1,Male,$69,3,3,Healthcare Representative,2,Medium,Divorced,"$12,901",High Income,"$21,790",1,Yes,18,3,4,2,16,4,1,6,5-9 Years,4,1,0
44,35-44,No,0,Travel_Frequently,$540,Research & Development,5 km,3,Life Sciences,107,1,Male,$59,2,3,Research Scientist,3,High,Divorced,"$10,172",High Income,"$6,452",5,No,11,3,1,1,26,1,1,9,5-9 Years,6,0,0
25,25-34,No,0,Non-Travel,$378,Research & Development,9 km,3,Medical,108,4,Male,$40,1,1,Research Scientist,3,High,Divorced,"$7,429",High Income,"$18,243",6,No,11,3,4,2,0,5,1,0,0-1 Years,0,0,0
42,35-44,No,0,Travel_Rarely,$865,Sales,7 km,3,Other,109,1,Male,$85,2,4,Sales Executive,2,Medium,Divorced,"$11,753",High Income,"$20,662",6,Yes,12,3,1,0,16,5,1,12,10+ Years,0,0,3
18,Under 25,No,0,Travel_Rarely,"$1,235",Research & Development,7 km,3,Other,110,2,Female,$48,2,1,Manager,2,Medium,Married,"$7,361",High Income,"$13,333",3,No,11,3,3,1,0,0,1,0,0-1 Years,0,0,0
45,45-54,No,0,Travel_Rarely,$190,Sales,7 km,3,Life Sciences,111,3,Male,$48,1,3,Manager,3,High,Single,"$14,015",High Income,"$3,849",0,No,16,3,4,0,21,5,1,11,10+ Years,2,1,0
43,35-44,No,0,Travel_Rarely,$345,Research & Development,12 km,3,Medical,112,3,Female,$79,3,1,Research Director,1,Low,Single,"$7,115",High Income,"$4,002",3,No,20,3,1,1,19,3,1,1,0-1 Years,0,0,1
