Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
32,No,Travel_Rarely,1167,Research & Development,11.0,2.0,  Other  ,1,1096,2.0,Male,34,4,2,Research Director,4.0,Married,12099.0,14652,1.0,Y,No,15,4,2,80,0,10.0,1,3.0,4,4,1,2
34,No,Travel_Rarely,709,Human Resources,4.0,1.0,Life Sciences,1,196,4.0,Male,71,2,2,HUMAN RESOURCES,2.0,SINGLE,9565.0,2120,5.0,Y,No,17,3,2,80,3,9.0,5,3.0,1,1,0,0
46,no,TRAVEL_RARELY,1322,RESEARCH & DEVELOPMENT,3.0,3.0,OTHER,1,917,1.0,Female,99,4,1,Manufacturing Director,,single,7560.0,17816,1.0,Y,No,18,3,3,80,0,29.0,4,3.0,1,1,1,1
28,No,Travel_Frequently,1437,Sales,1.0,2.0,Other,1,513,4.0,Male,30,4,2,Sales Executive,4.0,divorced,8777.0,10505,4.0,Y,No,15,3,4,80,0,0.0,4,3.0,0,0,0,0
43,no,Travel_Rarely,865,Research & Development,11.0,3.0,Other,1,752,4.0,Male,60,1,2,MANAGER,2.0,MARRIED,13263.0,11420,1.0,Y,yes,11,3,4,80,0,21.0,3,3.0,2,2,2,2
22,yes,  Travel_Frequently  ,516,Research & Development,8.0,5.0,MEDICAL,1,923,1.0,Male,69,4,2,Laboratory Technician,1.0,Divorced,11823.0,24303,2.0,Y,Yes,15,4,3,80,0,2.0,1,3.0,0,0,0,0
25,No,Travel_Rarely,437,Research & Development,9.0,2.0,life sciences,1,263,3.0,Male,74,3,1,Manufacturing Director,4.0,Married,9023.0,15457,1.0,Y,No,12,3,4,80,1,0.0,1,3.0,0,0,0,0
45,No,Non-Travel,345,RESEARCH & DEVELOPMENT,6.0,4.0,Life Sciences,1,634,3.0,Male,97,2,1,Laboratory Technician,4.0,Married,5695.0,8069,6.0,Y,No,18,3,1,80,2,20.0,0,3.0,1,0,1,1
34,No,Travel_Rarely,251,Research & Development,17.0,4.0,medical,1,165,1.0,Female,99,2,2,Healthcare Representative,2.0,  Single  ,10104.0,4855,3.0,Y,No,19,3,4,80,1,17.0,0,3.0,2,0,2,0
41,No,TRAVEL_RARELY,1198,Research & Development,27.0,4.0,Other,1,1280,1.0,Male,61,4,3,Healthcare Representative,1.0,Divorced,,23498,4.0,Y,No,14,3,1,80,1,17.0,6,2.0,5,5,4,1
41,No,Travel_Rarely,1069,RESEARCH & DEVELOPMENT,2.0,3.0,Technical Degree,1,270,2.0,Female,87,3,3,research scientist,1.0,Married,10501.0,3682,0.0,Y,No,19,3,3,80,0,19.0,3,3.0,6,6,1,2
30,no,Non-Travel,247,RESEARCH & DEVELOPMENT,24.0,2.0,Technical Degree,1,1400,4.0,Male,84,2,3,Healthcare Representative,3.0,Single,10732.0,3850,2.0,Y,no,13,4,1,80,0,5.0,1,1.0,5,0,2,0
38,Yes,Travel_Rarely,1029,Sales,1.0,4.0,OTHER,1,585,,Female,69,3,3,sales executive,2.0,Single,7280.0,4370,1.0,Y,Yes,16,3,2,80,1,22.0,0,3.0,7,2,1,0
44,No,TRAVEL_RARELY,239,Sales,16.0,3.0,Technical Degree,1,814,1.0,,30,1,2,Manager,1.0,Married,9809.0,11177,1.0,Y,Yes,15,3,3,80,1,21.0,1,4.0,0,0,0,0
58,N,Travel_Frequently,1032,Research & Development,4.0,3.0,Medical,1,960,2.0,Male,86,4,3,Laboratory Technician,4.0,Divorced,9207.0,15954,2.0,Y,No,14,4,1,80,3,39.0,2,3.0,14,1,0,0
27,No,Travel_Rarely,563,Sales,10.0,2.0,Life Sciences,1,697,4.0,,66,3,2,Sales Executive,3.0,Married,10120.0,23179,0.0,Y,Yes,18,3,3,80,1,4.0,0,3.0,4,2,4,0
32,N,Travel_Frequently,648,Research & Development,1.0,3.0,Life Sciences,1,247,4.0,Male,92,4,2,Research Director,1.0,single,11488.0,15225,2.0,Y,Yes,24,3,1,80,2,13.0,6,2.0,6,0,5,0
43,No,Travel_Rarely,295,Research & Development,5.0,,Life Sciences,1,221,2.0,Female,76,4,2,Research Scientist,2.0,Divorced,9489.0,13287,4.0,Y,No,12,3,4,80,1,19.0,4,4.0,5,0,0,5
30,No,  Travel_Rarely  ,1263,Sales,1.0,3.0,Technical Degree,1,688,1.0,Male,87,3,1,SALES REPRESENTATIVE,4.0,Single,9289.0,25226,0.0,Y,No,18,3,3,80,1,8.0,3,4.0,1,1,1,1
48,No,TRAVEL_RARELY,824,Research & Development,18.0,3.0,Technical Degree,1,1430,3.0,Female,39,1,2,Healthcare Representative,2.0,Divorced,10858.0,6650,2.0,Y,No,18,3,3,80,0,28.0,1,3.0,0,0,0,0
34,No,Travel_Rarely,385,Research & Development,6.0,1.0,Medical,1,777,3.0,,99,4,1,Healthcare Representative,3.0,Divorced,6229.0,3500,1.0,Y,no,14,4,1,80,0,13.0,1,3.0,1,1,1,0
42,No,  Travel_Rarely  ,1056,Research & Development,4.0,4.0,other,1,976,3.0,Male,54,2,3,Research Scientist,1.0,married,12063.0,7843,2.0,Y,No,11,3,4,80,0,13.0,4,3.0,13,0,0,3
41,No,Travel_Rarely,539,RESEARCH & DEVELOPMENT,1.0,3.0,Technical Degree,1,490,3.0,Female,47,3,2,Manager,4.0,  Married  ,9863.0,5054,3.0,Y,Yes,20,3,1,80,2,16.0,2,3.0,2,2,0,2
36,Yes,Travel_Rarely,749,Research & Development,19.0,1.0,Technical Degree,1,1075,2.0,Male,96,2,1,Research Director,4.0,Married,8376.0,18943,3.0,Y,Yes,13,4,4,80,3,11.0,5,4.0,0,0,0,0
30,no,TRAVEL_RARELY,465,Research & Development,1.0,2.0,Life Sciences,1,1204,1.0,Male,73,4,2,Manager,4.0,Married,10702.0,12102,0.0,Y,No,19,3,2,80,0,9.0,3,2.0,5,0,0,3
37,No,TRAVEL_FREQUENTLY,419,Sales,1.0,1.0,OTHER,1,614,,Male,39,3,1,Manager,4.0,Married,7902.0,2126,2.0,Y,Y,16,3,1,80,0,17.0,6,3.0,1,1,1,1
48,No,Non-Travel,273,Research & Development,11.0,3.0,OTHER,1,62,1.0,Male,61,1,2,LABORATORY TECHNICIAN,4.0,Married,12754.0,17922,3.0,Y,yes,15,3,2,80,1,24.0,0,4.0,2,0,1,2
36,No,Travel_Rarely,1372,  Research & Development  ,4.0,2.0,Medical,1,1269,2.0,Male,39,2,2,Manager,1.0,Divorced,11397.0,16035,3.0,Y,no,15,4,3,80,0,12.0,2,3.0,9,6,0,2
43,No,Travel_Rarely,827,Research & Development,5.0,3.0,Medical,1,124,1.0,Female,97,3,4,Research Director,2.0,Married,14287.0,14460,4.0,Y,N,16,3,3,80,2,20.0,5,3.0,11,10,2,3
38,No,Travel_Rarely,1082,Sales,1.0,4.0,OTHER,1,827,,Male,62,1,1,Sales Executive,1.0,Single,6753.0,26779,7.0,Y,No,11,3,2,80,2,13.0,3,3.0,2,1,1,2
32,No,NON-TRAVEL,1190,Sales,4.0,3.0,Other,1,619,1.0,Male,46,2,3,manager,1.0,Married,12309.0,9487,4.0,Y,Yes,12,3,3,80,0,7.0,0,,7,6,1,2
27,No,Travel_Frequently,384,Research & Development,2.0,1.0,Other,1,412,2.0,Male,71,2,1,Manager,2.0,  Single  ,9855.0,15228,3.0,Y,No,11,3,2,80,1,1.0,5,3.0,1,1,1,0
29,N,Travel_Rarely,338,Research & Development,7.0,2.0,Other,1,379,1.0,Female,60,1,2,Manufacturing Director,3.0,MARRIED,9205.0,24218,3.0,Y,No,16,3,3,80,0,7.0,0,3.0,7,0,4,2
40,No,Travel_Rarely,1133,Research & Development,4.0,2.0,Technical Degree,1,1332,,Male,38,1,2,Healthcare Representative,2.0,Divorced,8809.0,4893,0.0,Y,No,14,3,1,80,0,15.0,3,3.0,1,0,0,0
46,No,Travel_Rarely,1050,Research & Development,28.0,3.0,Life Sciences,1,1011,1.0,Female,90,1,1,  Research Director  ,2.0,Single,8262.0,18275,2.0,Y,no,13,3,2,80,2,19.0,1,3.0,4,4,2,1
25,No,Non-Travel,378,Research & Development,9.0,3.0,Medical,1,108,4.0,Male,40,1,1,  Research Scientist  ,3.0,Divorced,7429.0,18243,6.0,Y,No,11,3,4,80,2,0.0,5,4.0,0,0,0,0
37,No,Travel_Rarely,480,Research & Development,1.0,1.0,Medical,1,43,2.0,Female,39,2,3,Manager,1.0,Divorced,11922.0,20887,1.0,Y,No,11,3,2,80,2,14.0,2,2.0,8,2,1,8
47,No,Travel_Rarely,1103,Research & Development,2.0,3.0,Technical Degree,1,398,1.0,Female,69,1,2,Research Director,2.0,Married,9549.0,7805,2.0,Y,No,23,3,4,80,0,24.0,5,3.0,9,3,0,2
30,No,Travel_Rarely,1384,Research & Development,7.0,2.0,Medical,1,369,4.0,,96,1,2,Laboratory Technician,3.0,SINGLE,8750.0,15262,2.0,Y,Yes,11,3,3,80,3,3.0,3,2.0,1,1,1,1
24,Yes,TRAVEL_FREQUENTLY,1164,Sales,27.0,2.0,Life Sciences,1,471,2.0,Male,72,3,2,manager,2.0,Married,10116.0,12743,1.0,Y,No,19,3,3,80,0,6.0,5,1.0,1,1,0,1
41,No,Travel_Rarely,1248,Research & Development,2.0,1.0,Medical,1,349,3.0,,55,3,3,Manufacturing Director,1.0,Married,10849.0,25136,1.0,Y,No,12,3,1,80,0,24.0,0,3.0,11,0,0,4
28,0,Travel_Rarely,264,Research & Development,1.0,3.0,Life Sciences,1,215,4.0,Male,33,3,1,RESEARCH DIRECTOR,3.0,Divorced,6767.0,3365,2.0,Y,Yes,18,3,1,80,0,3.0,3,3.0,3,3,1,1
44,no,Travel_Rarely,446,Sales,8.0,2.0,Life Sciences,1,1385,2.0,Female,98,4,4,Manager,3.0,Married,13457.0,17188,5.0,Y,No,11,3,2,80,0,22.0,4,3.0,19,1,1,2
24,No,TRAVEL_RARELY,904,Research & Development,7.0,2.0,Technical Degree,1,128,1.0,Male,78,1,2,Research Director,,Divorced,12241.0,10250,0.0,Y,Yes,14,3,3,80,1,3.0,2,2.0,0,0,0,0
36,No,NON-TRAVEL,225,Research & Development,14.0,3.0,  Medical  ,1,897,4.0,Male,66,3,3,Research Director,1.0,Married,9163.0,22302,3.0,Y,Yes,18,4,2,80,1,17.0,1,2.0,6,6,0,6
43,No,Travel_Rarely,1040,Research & Development,1.0,3.0,Other,1,23,1.0,Male,47,4,3,LABORATORY TECHNICIAN,1.0,Married,11082.0,17301,0.0,Y,No,12,3,4,80,0,16.0,3,1.0,7,7,1,2
37,No,TRAVEL_RARELY,1151,Research & Development,1.0,2.0,Life Sciences,1,905,2.0,Male,69,1,2,  Laboratory Technician  ,2.0,Married,8754.0,15922,1.0,Y,Yes,15,3,1,80,2,14.0,1,3.0,5,2,1,1
38,No,TRAVEL_RARELY,1358,Research & Development,1.0,1.0,Other,1,1317,2.0,Male,62,1,2,Healthcare Representative,4.0,Single,11434.0,23089,4.0,Y,No,13,3,1,80,0,15.0,5,3.0,5,1,0,3
31,No,travel_rarely,1045,Human Resources,7.0,4.0,  Life Sciences  ,1,695,3.0,Female,89,4,2,Human Resources,3.0,DIVORCED,8486.0,18598,0.0,Y,No,20,3,2,80,0,6.0,0,3.0,0,0,0,0
33,no,Travel_Rarely,1444,Sales,3.0,2.0,Technical Degree,1,632,3.0,Female,71,1,2,Sales Representative,1.0,married,8365.0,22432,2.0,Y,No,15,4,2,80,0,6.0,4,3.0,3,2,3,0
43,No,Travel_Rarely,1408,Sales,7.0,3.0,Life Sciences,1,787,1.0,Female,63,3,2,  Sales Representative  ,1.0,Single,6504.0,22072,1.0,Y,No,12,3,3,80,0,14.0,1,2.0,2,1,2,2
24,No,Travel_Rarely,902,Research & Development,3.0,2.0,Medical,1,403,4.0,Male,83,4,2,research scientist,3.0,Married,,26758,2.0,Y,No,23,3,4,80,0,0.0,5,3.0,0,0,0,0
29,Yes,Travel_Rarely,693,research & development,2.0,,medical,1,131,3.0,Female,49,3,2,research director,2.0,Divorced,9841.0,26771,1.0,Y,No,18,3,3,80,0,5.0,0,3.0,4,0,1,2
43,No,Travel_Rarely,716,,1.0,1.0,Medical,1,320,3.0,Male,88,4,2,MANAGER,2.0,divorced,10486.0,25211,3.0,Y,Yes,11,3,1,80,1,20.0,2,3.0,2,2,2,0
37,No,  Travel_Rarely  ,509,Research & Development,18.0,2.0,Technical Degree,1,345,4.0,Male,95,4,4,Laboratory Technician,3.0,Married,17028.0,25278,1.0,Y,No,17,3,3,80,2,14.0,0,,12,0,2,4
31,No,TRAVEL_RARELY,311,HUMAN RESOURCES,23.0,3.0,HUMAN RESOURCES,1,357,3.0,,67,4,1,Human Resources,4.0,Divorced,5449.0,6413,2.0,Y,N,16,3,4,80,1,3.0,5,3.0,3,0,2,0
27,No,NON-TRAVEL,953,Research & Development,2.0,1.0,Medical,1,557,4.0,Female,69,3,2,Research Scientist,4.0,Single,9698.0,24380,2.0,Y,No,13,3,2,80,1,7.0,0,4.0,2,2,2,2
35,No,Travel_Frequently,1354,research & development,10.0,4.0,Technical Degree,1,355,4.0,Male,95,3,1,Research Scientist,4.0,Divorced,5282.0,10770,2.0,Y,Yes,16,3,4,80,1,13.0,4,,3,0,0,1
36,No,Travel_Rarely,1050,,4.0,2.0,Other,1,170,2.0,Male,88,1,1,RESEARCH DIRECTOR,2.0,Single,6456.0,9959,2.0,Y,No,11,4,4,80,0,15.0,3,2.0,1,1,1,1
28,No,TRAVEL_FREQUENTLY,1095,RESEARCH & DEVELOPMENT,13.0,3.0,  Technical Degree  ,1,659,1.0,Female,39,4,2,  Healthcare Representative  ,3.0,Married,10906.0,3236,3.0,Y,No,11,3,2,80,2,,1,3.0,3,0,3,1
46,No,Travel_Rarely,1061,Research & Development,2.0,,Life Sciences,1,559,3.0,,64,1,2,Research Director,4.0,single,10157.0,22405,0.0,Y,No,12,4,2,80,3,23.0,4,3.0,6,3,0,5
45,No,Travel_Rarely,1208,SALES,,2.0,Technical Degree,1,1069,3.0,Female,41,1,2,Manager,3.0,Married,7660.0,9823,4.0,Y,no,19,3,4,80,0,19.0,3,3.0,1,1,0,1
27,no,Travel_Rarely,965,Research & Development,2.0,4.0,Technical Degree,1,481,4.0,Male,42,4,2,Manufacturing Director,3.0,Divorced,5609.0,26251,4.0,Y,No,12,3,1,80,2,3.0,3,3.0,3,0,3,2
41,No,Non-Travel,1199,Sales,24.0,3.0,Marketing,1,455,1.0,Male,42,1,2,Sales Executive,3.0,DIVORCED,8110.0,23206,3.0,Y,No,16,4,4,80,1,24.0,1,2.0,4,4,1,2
37,No,TRAVEL_RARELY,954,Research & Development,,2.0,Other,1,81,3.0,Female,45,3,2,Manager,3.0,Married,8691.0,16707,1.0,Y,Yes,19,3,1,80,0,,5,4.0,1,1,0,1
34,No,Travel_Rarely,1107,Research & Development,3.0,2.0,Other,1,865,2.0,Female,87,2,1,Healthcare Representative,4.0,Single,6963.0,7645,1.0,Y,No,17,3,1,80,0,10.0,0,3.0,1,1,0,1
47,no,Non-Travel,1210,Research & Development,6.0,3.0,Life Sciences,1,1443,1.0,,53,1,3,Healthcare Representative,3.0,Single,13660.0,8104,1.0,Y,No,17,3,3,80,1,25.0,4,4.0,11,2,4,4
32,Yes,Travel_Frequently,885,sales,3.0,3.0,Technical Degree,1,1310,4.0,Male,34,3,1,Sales Executive,1.0,Married,,13583,3.0,Y,Yes,13,3,3,80,2,7.0,3,2.0,4,4,4,1
35,No,Non-Travel,496,Research & Development,6.0,3.0,Medical,1,54,1.0,Female,43,3,1,Healthcare Representative,2.0,Married,7513.0,8882,2.0,Y,Yes,11,4,2,80,0,10.0,5,3.0,3,2,1,3
57,No,  Travel_Rarely  ,393,sales,2.0,2.0,Technical Degree,1,94,3.0,Male,57,4,2,Sales Representative,1.0,Married,10956.0,22364,5.0,Y,No,11,3,1,80,1,32.0,1,4.0,0,0,0,0
27,No,Travel_Rarely,324,SALES,3.0,3.0,OTHER,1,485,3.0,Male,82,4,1,MANAGER,4.0,Single,8121.0,15516,,Y,No,19,3,1,80,0,2.0,0,3.0,0,0,0,0
37,No,Travel_Rarely,211,Sales,7.0,2.0,LIFE SCIENCES,1,317,3.0,Male,35,2,2,Sales Executive,3.0,DIVORCED,11210.0,21053,3.0,Y,0,12,3,4,80,2,16.0,6,3.0,0,0,0,0
36,No,TRAVEL_RARELY,906,Research & Development,10.0,2.0,Other,1,990,,Female,77,3,2,Healthcare Representative,4.0,Single,9883.0,8410,2.0,Y,No,19,3,1,80,0,8.0,3,2.0,8,0,2,0
47,Yes,Travel_Rarely,767,Research & Development,29.0,3.0,Medical,1,1309,2.0,Male,73,3,2,Research Scientist,3.0,Married,11325.0,22404,1.0,Y,No,21,3,3,80,1,24.0,2,3.0,4,3,2,3
18,No,Travel_Rarely,135,Sales,9.0,2.0,Life Sciences,1,83,3.0,Male,92,1,1,Sales Executive,1.0,SINGLE,6538.0,9586,3.0,Y,Yes,11,3,3,80,2,0.0,5,2.0,0,0,0,0
46,No,Travel_Rarely,816,Sales,11.0,1.0,Marketing,1,1160,4.0,Female,31,3,3,Sales Representative,3.0,Single,13050.0,14598,5.0,Y,No,15,3,3,80,2,24.0,4,3.0,5,3,0,3
47,No,Non-Travel,601,Sales,10.0,1.0,Technical Degree,1,947,2.0,Female,79,2,3,MANAGER,2.0,MARRIED,12363.0,22123,3.0,Y,Yes,16,3,2,80,0,,1,3.0,8,1,2,2
21,No,Travel_Rarely,1037,Sales,3.0,3.0,Other,1,1242,2.0,Female,87,4,2,manager,3.0,Married,7476.0,10254,2.0,Y,yes,23,3,4,80,0,0.0,1,,0,0,0,0
48,No,Travel_Rarely,1052,Research & Development,5.0,2.0,Life Sciences,1,1461,4.0,Female,96,2,1,RESEARCH DIRECTOR,2.0,Married,10121.0,19898,2.0,Y,No,15,3,1,80,1,27.0,5,4.0,0,0,0,0
32,No,Travel_Rarely,1304,human resources,,4.0,Life Sciences,1,37,2.0,Male,82,3,1,Manager,1.0,Divorced,5848.0,25498,3.0,Y,Yes,20,3,3,80,0,11.0,4,3.0,0,0,0,0
33,No,Travel_Rarely,787,Sales,4.0,3.0,life sciences,1,975,1.0,Male,32,3,3,  Sales Representative  ,3.0,Single,,24075,2.0,Y,No,20,3,4,80,1,13.0,1,3.0,5,0,0,1
54,Yes,Travel_Rarely,348,Research & Development,1.0,4.0,Other,1,898,1.0,Male,65,1,4,research director,1.0,Married,15132.0,26324,4.0,Y,Yes,19,3,1,80,1,34.0,1,3.0,10,2,3,6
37,N,Travel_Rarely,794,Sales,20.0,1.0,Technical Degree,1,1348,4.0,Male,95,2,2,  Sales Representative  ,2.0,Married,8578.0,24625,2.0,Y,No,14,3,1,80,1,19.0,2,3.0,1,1,1,1
32,N,Travel_Rarely,839,Research & Development,3.0,,Medical,1,1421,1.0,Female,44,1,1,Research Director,3.0,Married,9053.0,3099,3.0,Y,Yes,14,3,3,80,1,13.0,2,4.0,2,1,0,0
29,1,Travel_Rarely,1389,Research & Development,11.0,3.0,TECHNICAL DEGREE,1,434,3.0,Male,49,1,1,Manager,2.0,MARRIED,6439.0,3252,,Y,Yes,11,3,4,80,0,,2,3.0,2,2,0,2
33,No,Travel_Rarely,113,Research & Development,2.0,3.0,LIFE SCIENCES,1,774,1.0,Male,81,4,3,Manufacturing Director,2.0,Married,9607.0,20519,4.0,Y,No,11,3,2,80,1,12.0,6,3.0,5,0,1,5
48,No,Travel_Rarely,379,Sales,12.0,5.0,Technical Degree,1,1165,2.0,Male,94,3,2,Sales Representative,1.0,Divorced,10856.0,10574,5.0,Y,no,11,3,1,80,2,,5,3.0,0,0,0,0
